KKKt	#		Title	Author	Date	Pages	Last Edition	Owned	Status	Date Started	Date Finished	Days Read	Pages per Day	Rating				rating	r/tbr																																																										
	0053	0	The Man of Feeling 	Mackenzie, Henry	1771	150	2018																																																																						
	0054	0	Humphry Clinker 	Smollett, Tobias George	1771	250	2018																																																																						
	0055	1	The Sorrows of Young Werther 	Goethe, Johann Wolfgang von	1774	150	2018		r																																																																				
	0056	0	Evelina 	Burney, Fanny	1778	450	2018																																																																						
	0057	0	Reveries of a Solitary Walker 	Rousseau, Jean-Jacques	1782	100	2018																																																																						
	0058	0	Dangerous Liaisons 	Choderlos de Laclos, Pierre	1782	250	2018								M																																																														
	0059	0	Confessions 	Rousseau, Jean-Jacques	1782	450	2018																																																																						
	0060	0	Cecilia 	Burney, Fanny	1782	1050	2006																																																																						
	0061	0	The 120 Days of Sodom 	de Sade, Marquis	1785	800	2018								M																																																														
	0062	0	Anton Reiser	Moritz, Karl Philipp	1785	400	2018																																																																						
	0063	0	Vathek 	Beckford, William Thomas	1786	150	2018																																																																						
	0064	0	Justine 	de Sade, Marquis	1791	200	2018																																																																						
	0065	0	A Dream of Red Mansions	Xueqin, Cao	1791	350	2018																																																																						
	0066	0	The Adventures of Caleb Williams 	Godwin, William	1794	450	2018																																																																						
	0067	0	The Interesting Narrative 	Equiano, Olaudah	1794	250	2018																																																																						
	0068	0	The Mysteries of Udolpho 	Radcliffe, Ann	1794	700	2018																																																																						
	0069	0	Wilhelm Meister's Apprenticeship 	Goethe, Johann Wolfgang von	1795	600	2018																																																																						
	0070	0	The Monk 	Lewis, M.G.	1796	450	2018																																																																						
	0071	0	Camilla 	Burney, Fanny	1796	1000	2018																																																																						
	0072	0	Jacques the Fatalist	Diderot, Denis	1796	300	2018																																																																						
	0073	0	The Nun 	Diderot, Denis	1796	200	2018																																																																						
	0074	0	Hyperion 	Hölderlin, Friedrich	1797	250	2018																																																																						
	0075	0	Castle Rackrent 	Edgeworth, Maria	1800	150	2018																																																																						
	0076	0	Henry of Ofterdingen	Novalis	1802	150	2018																																																																						
	0077	0	Rameau's Nephew 	Diderot, Denis 	1805	150	2018																																																																						
	0078	0	Elective Affinities 	Goethe, Johann Wolfgang von	1809	250	2018																																																																						
	0079	0	The Absentee 	Edgeworth, Maria	1811	250	2006																																																																						
	0080	0	Michael Kohlhaas	von Kleist, Heinrich	1810	100	2018																																																																						
	0081	0	Sense and Sensibility 	Austen, Jane	1811	350	2018																																																																						
	0082	1	Pride and Prejudice 	Austen, Jane	1813	300	2018		r	2-Dec-19	4-Dec-19	3	100																																																																
	0083	0	Mansfield Park 	Austen, Jane	1814	500	2018																																																																						
	0084	0	Emma 	Austen, Jane	1816	450	2018								M																																																														
	0085	0	Rob Roy 	Scott, Sir Walter	1817	500	2018																																																																						
	0086	0	Ormond 	Edgeworth, Maria	1817	250	2006																																																																						
	0087	0	Persuasion 	Austen, Jane	1817	250	2006																																																																						
	0088	0	Northanger Abbey 	Austen, Jane	1817	250	2006																																																																						
	0089	0	Frankenstein 	Shelley, Mary	1818	250	2018								M																																																														
	0090	0	Ivanhoe 	Scott, Sir Walter	1820	550	2018																																																																						
	0091	0	The Monastery 	Scott, Sir Walter	1820	500	2006																																																																						
	0092	0	Melmoth the Wanderer 	Maturin, Charles Robert	1820	100	2018																																																																						
	0093	0	The Albigenses 	Maturin, Charles Robert	1824	300	2006																																																																						
	0094	0	The Life and Opinions of the Tomcat Murr	Hoffman, E.T.A.	1820	400	2018																																																																						
	0095	0	The Private Memoirs and Confessions of a Justified Sinner 	Hogg, James	1825	250	2018																																																																						
	0096	0	The Life of a Good-for-Nothing	von Eichendorff, Joseph	1823	150	2018																																																																						
	0097	0	Last of the Mohicans 	Fenimore Cooper, James	1823	550	2018																																																																						
	0098	0	The Betrothed 	Manzoni, Alessandro	1827	700	2018																																																																						
	0099	0	The Red and the Black 	Stendhal	1831	750	2018																																																																						
	0100	1	The Hunchback of Notre Dame 	Hugo, Victor	1831	300	2018		r	9-Dec-19	11-Dec-19	3	100																																																																
	0101	0	Eugene Onegin	Pushkin, Alexander	1833	250	2018																																																																						
	0102	0	Eugénie Grandet 	de Balzac, Honoré	1834	200	2018	1																																																																					
	0103	0	Le Père Goriot 	de Balzac, Honoré	1834	400	2018																																																																						
	0104	0	The Nose 	Gogol, Nikolay	1836	50	2018																																																																						
	0105	0	Oliver Twist 	Dickens, Charles	1838	450	2018																																																																						
	0106	0	The Life and Adventures of Nicholas Nickleby 	Dickens, Charles	1839	600	2006																																																																						
	0107	0	The Lion of Flanders	Conscience, Hendrik	1838	600	2018																																																																						
	0108	0	The Charterhouse of Parma 	Stendhal	1839	500	2018																																																																						
	0109	1	The Fall of the House of Usher 	Poe, Edgar Allan	1839	50	2018		r																																																																				
	0110	0	Camera Obscura	Hildebrand	1839	800	2018																																																																						
	0111	0	A Hero of Our Times	Lermontov, Mikhail Yurevich	1840	200	2018																																																																						
	0112	0	Dead Souls 	Gogol, Nikolay	1842	400	2018																																																																						
	0113	0	A Christmas Carol 	Dickens, Charles	1843	150	2006																																																																						
	0114	0	Lost Illusions 	de Balzac, Honoré	1843	400	2018																																																																						
	0115	1	The Pit and the Pendulum 	Poe, Edgar Allan	1843	100	2018		r																																																																				
	0116	0	Martin Chuzzlewit 	Dickens, Charles	1844	600	2006																																																																						
	0117	0	The Purloined Letter 	Poe, Edgar Allan	1844	50	2006																																																																						
	0118	0	The Three Musketeers 	Dumas, Alexandre	1844	600	2018																																																																						
	0119	0	La Reine Margot 	Dumas, Alexandre	1845	550	2006																																																																						
	0120	0	Facundo	Sarmiento, Domingo Faustino	1845	300	2018																																																																						
	0121	0	The Devil's Pool	Sand, George	1845	200	2018																																																																						
